Timestamp,VM_Name,CPU_Usage_Percent,Network_RX_Bytes,Network_TX_Bytes
2026-03-13 01:41:15+00:00,cloud-core-1,6.9830465184668356,119929.0,143772.0
2026-03-13 01:41:15+00:00,fog-gateway-1,30.795229701870998,149222.0,174374.0
2026-03-13 01:41:15+00:00,worker-edge-1,33.4867697521319,148196.0,185011.0
2026-03-13 01:41:15+00:00,worker-edge-light-1,55.877318024171615,115595.0,163088.0
2026-03-13 01:41:15+00:00,worker-iot-1,45.32565811063705,100185.0,127296.0
2026-03-13 01:42:15+00:00,cloud-core-1,7.073520055676758,122897.0,147603.0
2026-03-13 01:42:15+00:00,fog-gateway-1,30.85164211093494,148243.0,177628.0
2026-03-13 01:42:15+00:00,worker-edge-1,33.76225473865512,147480.0,184236.0
2026-03-13 01:42:15+00:00,worker-edge-light-1,55.4204356058032,117432.0,158711.0
2026-03-13 01:42:15+00:00,worker-iot-1,45.51709684529972,92640.0,122146.0
2026-03-13 01:43:15+00:00,cloud-core-1,7.19328989906444,119561.0,143010.0
2026-03-13 01:43:15+00:00,fog-gateway-1,30.7996419914222,150837.0,172322.0
2026-03-13 01:43:15+00:00,worker-edge-1,33.63496906813604,147024.0,183295.0
2026-03-13 01:43:15+00:00,worker-edge-light-1,55.03281152937915,105108.0,157744.0
2026-03-13 01:43:15+00:00,worker-iot-1,46.327483810302205,90251.0,118514.0
2026-03-13 01:44:15+00:00,cloud-core-1,7.132912511318256,121499.0,145614.0
2026-03-13 01:44:15+00:00,fog-gateway-1,30.913259524356057,147293.0,172165.0
2026-03-13 01:44:15+00:00,worker-edge-1,34.140465502159714,146921.0,183517.0
2026-03-13 01:44:15+00:00,worker-edge-light-1,55.67547668762926,108572.0,157404.0
2026-03-13 01:44:15+00:00,worker-iot-1,46.6578106524715,93560.0,121826.0
2026-03-13 01:45:15+00:00,cloud-core-1,7.230281537792203,120369.0,144882.0
2026-03-13 01:45:15+00:00,fog-gateway-1,31.20550483640121,147350.0,178721.0
2026-03-13 01:45:15+00:00,worker-edge-1,35.034046033688355,146728.0,183992.0
2026-03-13 01:45:15+00:00,worker-edge-light-1,56.74077225653416,113439.0,154822.0
2026-03-13 01:45:15+00:00,worker-iot-1,44.98433097212759,93403.0,121468.0
2026-03-13 01:46:15+00:00,cloud-core-1,6.942522311863589,121749.0,146649.0
2026-03-13 01:46:15+00:00,fog-gateway-1,31.302125263791826,147102.0,171795.0
2026-03-13 01:46:15+00:00,worker-edge-1,34.23581472146149,147023.0,184642.0
2026-03-13 01:46:15+00:00,worker-edge-light-1,55.3236360851247,104300.0,153875.0
2026-03-13 01:46:15+00:00,worker-iot-1,45.10393854345542,90109.0,117993.0
2026-03-13 01:47:15+00:00,cloud-core-1,7.065690189536629,120438.0,144907.0
2026-03-13 01:47:15+00:00,fog-gateway-1,30.927602849603016,148934.0,172520.0
2026-03-13 01:47:15+00:00,worker-edge-1,33.70524905346732,147038.0,184526.0
2026-03-13 01:47:15+00:00,worker-edge-light-1,55.12358099106904,102270.0,152810.0
2026-03-13 01:47:15+00:00,worker-iot-1,47.128815575350316,98921.0,130114.0
2026-03-13 01:48:15+00:00,cloud-core-1,6.9885317043341875,122107.0,146906.0
2026-03-13 01:48:15+00:00,fog-gateway-1,30.72628756822875,147477.0,171000.0
2026-03-13 01:48:15+00:00,worker-edge-1,33.88630294169161,147714.0,184896.0
2026-03-13 01:48:15+00:00,worker-edge-light-1,55.795574910187796,102815.0,152853.0
2026-03-13 01:48:15+00:00,worker-iot-1,49.209678768334015,125277.0,164718.0
2026-03-13 01:49:15+00:00,cloud-core-1,6.985554184129797,120435.0,145334.0
2026-03-13 01:49:15+00:00,fog-gateway-1,30.72486058951957,147041.0,173999.0
2026-03-13 01:49:15+00:00,worker-edge-1,33.56317223249031,147732.0,185258.0
2026-03-13 01:49:15+00:00,worker-edge-light-1,55.47573310079239,106366.0,154534.0
2026-03-13 01:49:15+00:00,worker-iot-1,46.48449363217575,92551.0,122437.0
2026-03-13 01:50:15+00:00,cloud-core-1,7.0393698483409635,122996.0,148475.0
2026-03-13 01:50:15+00:00,fog-gateway-1,30.680141231165788,147465.0,175415.0
2026-03-13 01:50:15+00:00,worker-edge-1,33.48460888670919,146891.0,184475.0
2026-03-13 01:50:15+00:00,worker-edge-light-1,55.36334446373833,107017.0,153943.0
2026-03-13 01:50:15+00:00,worker-iot-1,44.297063731936156,90277.0,118921.0
2026-03-13 01:51:15+00:00,cloud-core-1,7.072398687043156,119919.0,144365.0
2026-03-13 01:51:15+00:00,fog-gateway-1,30.729305586291954,148747.0,174611.0
2026-03-13 01:51:15+00:00,worker-edge-1,33.5276878835748,146552.0,184040.0
2026-03-13 01:51:15+00:00,worker-edge-light-1,54.86362905623461,106240.0,155083.0
2026-03-13 01:51:15+00:00,worker-iot-1,44.71664901518125,89916.0,118624.0
2026-03-13 01:52:15+00:00,cloud-core-1,7.096069948095949,121469.0,146932.0
2026-03-13 01:52:15+00:00,fog-gateway-1,30.78868423294504,146807.0,178502.0
2026-03-13 01:52:15+00:00,worker-edge-1,33.58562795833526,147002.0,184611.0
2026-03-13 01:52:15+00:00,worker-edge-light-1,54.546585181412865,110910.0,153950.0
2026-03-13 01:52:15+00:00,worker-iot-1,44.991545200365785,89436.0,117941.0
2026-03-13 01:53:15+00:00,cloud-core-1,0.0,120187.0,0.0
2026-03-13 01:53:15+00:00,fog-gateway-1,0.0,147392.0,0.0
2026-03-13 01:53:15+00:00,worker-edge-1,0.0,146460.0,0.0
2026-03-13 01:53:15+00:00,worker-edge-light-1,0.0,112839.0,0.0
2026-03-13 01:53:15+00:00,worker-iot-1,0.0,89105.0,0.0
